mint,symbol,created_at_utc,complete,pool_address,market_cap_usd_at_snapshot,ath_market_cap_usd
5f1Yv8FDgH7LUAR6RCi3wfMoKiG5U775v8dSVyCkL2R1,DGM,2026-09-07T00:36:32+00:00,False,B481HyLCzuWCs2Pt1ELrqQBQsCvhqGEBMwMUv5a9xMQX,2964.4255032563938,4048.545072469036
5Bkn9wdmihvUD7xWu1tsduCkHybTx5hZSP5kxKgydJDF,THREADGUY,2026-09-07T00:46:21+00:00,False,6N5BaEquAWHQUT14oGFxfHkKyMPRy9wQ6JN2M6U8ezX8,2965.600178105094,6386.986826622528
BaNGAWYKpSxSRo25dF9rmZAhsEDYdXTopCX9Kc6ZZkG2,THREADGUY,2026-09-07T00:46:28+00:00,False,DSLuCK68fojzzmoghJT6qnipizCjXGmNaQJQLwqAFKi3,2965.3308484848462,4421.715740642088
CEHEovVBGgJ4PkvFiU4V88TCBtT2jW41i71oXDGcuM9S,PANKO,2026-09-07T00:46:59+00:00,False,9ySxen64qWSt6zhRoSGfrugB2uE8u89w25uzkug2wpmd,2963.932899206039,5225.690138711149
8ix5Eu3Xytr5J6B9MeH2EXbVPzYTFbwnipa8JczEozg2,stockmemes,2026-09-07T00:55:03+00:00,False,AbUUMJsmx93b7nvQRSyCW1e9e89nSiorCHWmjkSW6nGw,2941.585513384469,6557.414751153355
8VMRff5GoJnZrn48ZKZMyWY2Q2hJDsuJfd6rFe7f1kik,ape,2026-09-07T01:11:23+00:00,False,FJgoDiK78i5XQ8qfsjCqMGYs5dz1bsGYg3GaEg4e3DfE,2907.338962293737,10358.758581016576
CCn9VimrnQ8TGEfZEJN5gGiq49caeygs9aqXXRntSz64,SILK,2026-09-07T11:22:43+00:00,False,71h4cXfoTNLnM4X81dGEFuG6qkrXjHUV68PiU316SN9b,2932.059646634632,4410.763133970337
56qZvVkdtRzTJuTaVsGM5y3jxmDnqwWawiSS3UYux2Aw,Cutecat,2026-09-07T11:47:06+00:00,False,CkRAQrWUftuFsxACEDH6iGTjSnmF4AT6yaVmhsXGDnzh,2938.5232865161297,8170.9391870243535
FSPoiVWxSY75Ldob2Je2cLnMR5Vtb9zEazcmuaaHhTXT,Pairless,2026-09-07T11:56:32+00:00,False,4gdcoCWvWPM4Gv7N6w6AEw4weYEdN3aWr5qzpjGF2sXj,2958.5564474840303,7548.437566192227
7GCoswfWwwZgfK9azxoqLah2zEauNnUucGCjT1B2rX9L,FlyingGuy,2026-09-07T12:06:10+00:00,False,6gTQM1SduSN2EXPHeArVaMyheBiWioxS4E2ew9CZMYdE,2945.816824435212,4929.699259812761
4pgMLsqPyMur5eLyKPQ62vNrXWNgAoSPGLMbuRH3Q5Jb,FIX6900,2026-09-07T12:07:08+00:00,False,FR7CVn5hjChERGq4AZKzd8RhyDgwq72ZHzdBdjL7VTsM,2935.9739062116773,5354.257096163488
GvXGN2tKbmsSUZ2gARDebHkef9JRjNCwh4t8JPmb2DBo,PUMP,2026-09-07T12:08:49+00:00,True,5kGEfPsHi4pJ2nJBujNfBfB5pvrghpcv9YYgo38uJ7Az,5237.2122930748565,43588.4047587476
3sENhVjkuYFTJNZMYSorDLtEN9TgL3gmq1FnmDeh1vcJ,MMD,2026-09-07T12:16:22+00:00,False,HQZqFcBBrtoBNM5aat58vVK9nBgSpQTm8Upanawi7aEc,2942.37484972256,10095.159807053042
